DPMP,irca.2016,fake.irca,pob.2016,rural.2016,ing.2016
20238,0.246562,7,26587,0.222138639,21308.93641
20250,79.978,5,23013,0.826532829,45903.5552
20295,24.656153,9,16856,0.434326056,15694.94452
20310,77.913076,8,6789,0.80659891,9582.052
20383,35.966315,4,12760,0.509717868,18317.789
20400,9.0232,4,22311,0.144547533,52580.386
20443,0,8,14855,0.356041737,13118.852
20517,84.804705,4,17268,0.223824415,19732.803
20550,36.9325,1,18022,0.325823993,23916.68779
20570,33.630344,9,22837,0.755791041,30333.72284
20614,1.081904,10,13994,0.56052594,20122.10369
20621,1.585909,5,22887,0.344824573,25240.83189
20710,0.8832,10,25121,0.256637873,26227.714
20750,2.925,5,13322,0.438672872,16888.79951
20770,1.89,9,18650,0.510991957,23712.71468
20787,25.78125,9,13838,0.593510623,19856.279
23001,0,10,447668,0.225155696,634496.6322
23068,,1,52156,0.480769231,64566.236
23079,,6,21915,0.614693133,21980.394
23090,,2,22036,0.806180795,21538.294
23162,,1,92304,0.423253597,67391.053
23168,,9,15165,0.789317507,14480.78296
23182,,5,48841,0.501341086,45022.559
23189,,1,65471,0.599410426,51925.95893
23300,,4,15487,0.738748628,18368.43094
23350,,7,15482,0.141712957,24875.47
23417,,7,119061,0.534415132,185444.959
23419,,4,24471,0.805361448,31181.8187
23464,,3,14962,0.3605133,21068.5194
23466,,5,83181,0.210492781,134934.5831
23500,,8,27859,0.750242292,28414.14
23555,,3,67758,0.367336698,63062.05633
23570,,4,39334,0.608887985,50057.915
23574,,3,30019,0.832472767,34449.281
23580,,6,49179,0.588218549,50975.65564
23586,,8,15114,0.573441842,18719.399
23660,,10,90093,0.462788452,146018.0537
23670,,2,43874,0.7047682,41126.90125
23672,,2,31942,0.441299856,33779.608
23675,,3,35160,0.735580205,30415.215
23678,,1,27486,0.789529215,21218.3
23682,,5,11172,0.495076978,20536.89606
23686,,9,44068,0.810973949,33651.6
23807,,8,102348,0.55912182,94505.48883
23815,,6,38608,0.838116453,35884.86
23855,,8,43956,0.636727637,37106.636
25001,1.808571,3,10910,0.229605866,11038.41976
25019,8.077083,10,5956,0.729348556,6434.658894
25035,17.142758,8,13514,0.570741453,30520.08952
25040,9.849302,5,12210,0.699344799,13356.82
25053,17.945,5,12330,0.569099757,12546.153
25086,25.244285,8,2228,0.802064632,4994.717625
25095,28.4425,3,2508,0.822567783,4000.727996
25099,15.2675,3,11845,0.197214014,10100.24266
25120,5.08,5,4478,0.765520322,9971.348
25123,8.371,6,9811,0.679339517,10453.035
25126,0,1,58036,0.370476945,87045.1485
25148,8.716363,5,16710,0.835906643,18082.47923
25151,0.14909,9,17129,0.568626306,23944.12688
25154,11.19875,5,9191,0.732564465,9194.225027
25168,25.364545,10,3979,0.812264388,6234.651172
25175,0.014931,7,129652,0.215407398,184854.3794
25178,6.770454,4,8400,0.6975,16077.946
25181,7.025833,3,10680,0.66076779,12954.68472
25183,1.267692,10,25895,0.488820236,21308.95178
25200,21.61093,7,22786,0.688097955,20508.59401
25214,13.281698,4,25432,0.422106008,94954.34611
25224,1.978636,9,7521,0.812923813,9520.770354
25245,6.914772,5,21949,0.617567999,22046.78987
25258,12.594166,1,4807,0.907426669,3773.559
25260,6.737619,6,17648,0.282581596,13159.47575
25269,2.211375,3,134522,0.095999167,109871.1014
25279,16.02,3,12234,0.611329083,13613.24012
25281,0.708,10,7630,0.743250328,9519.509765
25286,0.37619,1,76742,0.062312684,106207.9174
25288,3.341818,4,5669,0.953254542,5908.832
25290,1.175939,4,137164,0.195211572,146543.2131
25293,9.278333,10,5701,0.643922119,13842.13536
25295,5.594736,5,14831,0.419189535,13320.78834
25297,0.956363,4,11163,0.664964615,14493.95651
25299,6.321666,6,4011,0.786088257,8376.871774
25307,2.302241,1,105701,0.032885214,124414.6314
25312,2.445,3,8877,0.765123352,7468.016
25317,2.082222,7,11372,0.669099543,10620.05543
25320,3.569032,5,39063,0.491257712,25134.098
25322,8.265945,10,15003,0.645670866,15761.06203
25324,7.368333,5,2649,0.479426199,5451.556
